model,aversive_tau_h,consolidation_tau_h,aversive_scale,early_value,late_value,loss,regularizer
consolidating,2.0,6.0,0.5,0.0031232206061021003,0.39296341520051753,0.0028220765675645914,3.0
consolidating,2.0,6.0,1.0,-0.11059509801875676,0.39296251803976306,0.0,2.0
consolidating,2.0,6.0,2.0,-0.3380317352684745,0.39296072371825425,0.0,3.0
consolidating,2.0,6.0,4.0,-0.79290500976791,0.39295713507523655,0.0,6.0
consolidating,2.0,12.0,0.5,-0.05062925233744824,0.34641614350931,0.0,2.0
consolidating,2.0,12.0,1.0,-0.16434757096230712,0.34641524634855553,0.0,1.0
consolidating,2.0,12.0,2.0,-0.39178420821202486,0.3464134520270466,0.0,2.0
consolidating,2.0,12.0,4.0,-0.8466574827114604,0.3464098633840289,0.0,5.0
consolidating,2.0,24.0,0.5,-0.08089260675714592,0.2560726819177405,0.0,3.0
consolidating,2.0,24.0,1.0,-0.1946109253820048,0.25607178475698605,0.0,2.0
consolidating,2.0,24.0,2.0,-0.42204756263172255,0.2560699904354772,0.0,3.0
consolidating,2.0,24.0,4.0,-0.876920837131158,0.25606640179245943,0.0,6.0
consolidating,4.0,6.0,0.5,-0.0370213717469307,0.3925321431101645,0.0001684447913313687,2.0
consolidating,4.0,6.0,1.0,-0.19088428272482236,0.392099973859057,0.0,1.0
consolidating,4.0,6.0,2.0,-0.49861010468060574,0.39123563535684197,0.0,2.0
consolidating,4.0,6.0,4.0,-1.1140617485921724,0.38950695835241195,0.0,5.0
consolidating,4.0,12.0,0.5,-0.09077384469048104,0.34598487141895684,0.0,1.0
consolidating,4.0,12.0,1.0,-0.24463675566837273,0.3455527021678494,0.0,0.0
consolidating,4.0,12.0,2.0,-0.552362577624156,0.34468836366563443,0.0,1.0
consolidating,4.0,12.0,4.0,-1.1678142215357228,0.3429596866612044,0.0,4.0
consolidating,4.0,24.0,0.5,-0.12103719911017871,0.2556414098273874,0.0,2.0
consolidating,4.0,24.0,1.0,-0.2749001100880704,0.2552092405762799,0.0,1.0
consolidating,4.0,24.0,2.0,-0.5826259320438538,0.25434490207406496,0.0,2.0
