dataset,fly_id,seed,physics_rows,finite,outside_tolerance,naive_zero,final_state_present,stationary_nonresponse,config_matches,collection_consistent,memory_reconstruction_error,turn_reconstruction_error,unique_state_ids,state_choice_consistent,learned_value_sd,saturation_fraction
calibration_gain_50,consolidating_paired_0.5h_0_0_0,4076392674,57219,True,0,True,True,False,True,True,1.0633854907737827e-14,5.551115123125783e-17,True,True,0.0424193058927716,0.07665505226480836
calibration_gain_50,consolidating_paired_0.5h_0_0_1,1377592876,57078,True,0,True,True,False,True,True,1.2069338584108635e-14,5.551115123125783e-17,True,True,0.04566558687179918,0.0979020979020979
calibration_gain_50,consolidating_paired_0.5h_0_1_0,1483582147,57526,True,0,True,True,False,True,True,1.0145096568381362e-14,5.551115123125783e-17,True,True,0.039720847594625325,0.12152777777777778
calibration_gain_50,consolidating_paired_0.5h_0_1_1,1156549214,58152,True,0,True,True,False,True,True,1.8856444183867893e-14,5.551115123125783e-17,True,True,0.06007210961062803,0.18900343642611683
calibration_gain_50,consolidating_paired_0.5h_1_0_0,2486160845,57243,True,0,True,True,False,True,True,1.3255889441676771e-14,5.551115123125783e-17,True,True,0.051466423630578365,0.08362369337979095
calibration_gain_50,consolidating_paired_0.5h_1_0_1,2953232051,58217,True,0,True,True,False,True,True,1.6905747635131974e-14,5.551115123125783e-17,True,True,0.06213978656466872,0.0821917808219178
calibration_gain_50,consolidating_paired_0.5h_1_1_0,3265468116,58462,True,0,True,True,False,True,True,1.2022501050257262e-14,5.551115123125783e-17,True,True,0.04246660895756058,0.12627986348122866
calibration_gain_50,consolidating_paired_0.5h_1_1_1,2337273950,57073,True,0,True,True,False,True,True,1.1839487723541708e-14,1.1102230246251565e-16,True,True,0.04150624459967188,0.10839160839160839
calibration_gain_50,consolidating_paired_0.5h_2_0_0,4212188085,58504,True,0,True,True,False,True,True,1.2649603586822877e-14,5.551115123125783e-17,True,True,0.048937196139641474,0.09897610921501707
calibration_gain_50,consolidating_paired_0.5h_2_0_1,1196550506,58381,True,0,True,True,False,True,True,2.3194987597285888e-14,5.551115123125783e-17,True,True,0.07923314745234396,0.1404109589041096
calibration_gain_50,consolidating_paired_0.5h_2_1_0,1065098946,57269,True,0,True,True,False,True,True,8.686194125084867e-15,5.551115123125783e-17,True,True,0.03171783240789751,0.08710801393728224
calibration_gain_50,consolidating_paired_0.5h_2_1_1,3658463003,57762,True,0,True,True,False,True,True,1.1220191442617988e-14,5.551115123125783e-17,True,True,0.0409847175550231,0.16262975778546712
calibration_gain_50,consolidating_paired_0.5h_3_0_0,3931579541,58423,True,0,True,True,False,True,True,1.3099764328838859e-14,1.1102230246251565e-16,True,True,0.03469113200903788,0.10238907849829351
calibration_gain_50,consolidating_paired_0.5h_3_0_1,3926241268,58422,True,0,True,True,False,True,True,1.6694111371062803e-14,1.1102230246251565e-16,True,True,0.04440388832683979,0.08532423208191127
calibration_gain_50,consolidating_paired_0.5h_3_1_0,1050480474,59217,True,0,True,True,False,True,True,1.1153404588792881e-14,1.1102230246251565e-16,True,True,0.04363453019931556,0.07407407407407407
calibration_gain_50,consolidating_paired_0.5h_3_1_1,2587751173,57144,True,0,True,True,False,True,True,9.706645209828224e-15,1.1102230246251565e-16,True,True,0.035259793803863314,0.0944055944055944
calibration_gain_50,consolidating_paired_24h_0_0_0,2038887312,58117,True,0,True,True,False,True,True,5.297845495633169e-15,1.1102230246251565e-16,True,True,0.03822031904568675,0.1958762886597938
calibration_gain_50,consolidating_paired_24h_0_0_1,284928673,58869,True,0,True,True,False,True,True,9.26342336171615e-15,1.1102230246251565e-16,True,True,0.06481517137774409,0.17288135593220338
calibration_gain_50,consolidating_paired_24h_0_1_0,2621017246,57730,True,0,True,True,False,True,True,5.6968318951078345e-15,5.551115123125783e-17,True,True,0.058564414694974205,0.14878892733564014
calibration_gain_50,consolidating_paired_24h_0_1_1,2183770861,57718,True,0,True,True,False,True,True,7.251144129583054e-15,5.551115123125783e-17,True,True,0.0719445754725265,0.08304498269896193
calibration_gain_50,consolidating_paired_24h_1_0_0,3099683046,57372,True,0,True,True,False,True,True,1.0394463068053028e-14,5.551115123125783e-17,True,True,0.07156652671388415,0.1289198606271777
calibration_gain_50,consolidating_paired_24h_1_0_1,2314428761,57725,True,0,True,True,False,True,True,6.519090822720841e-15,5.551115123125783e-17,True,True,0.046892661013934835,0.08996539792387544
calibration_gain_50,consolidating_paired_24h_1_1_0,4206271640,57755,True,0,True,True,False,True,True,5.162537064506978e-15,5.551115123125783e-17,True,True,0.053249132778743616,0.17301038062283736
calibration_gain_50,consolidating_paired_24h_1_1_1,3062317857,58202,True,0,True,True,False,True,True,4.4651782271643015e-15,5.551115123125783e-17,True,True,0.04773016431554682,0.09931506849315068
calibration_gain_50,consolidating_paired_24h_2_0_0,4159401896,57224,True,0,True,True,False,True,True,8.507083926190262e-15,1.1102230246251565e-16,True,True,0.059398346812946944,0.059233449477351915
