dataset,individual_key,relative_trial_directory,Index,model,condition,delay_h,replicate,paired_odor,b_left,fly_id,gait_seed,sensory_seed,motor_seed,heading_seed,motor_noise_sd,seed,learning_gain,choice,choice_latency_s,termination,score,neural_value_difference,physics_ticks,control_rows,assay_duration_s,test_start_biological_s,captured,physical_time_s,capture_policy,diagnostic
calibration_gain_50,calibration_gain_50/consolidating_paired_0.5h_0_0_0,calibration_gain_50/paired/0.5h/rep00_odor0_side0,0,consolidating,paired,0.5,0,A,False,consolidating_paired_0.5h_0_0_0,468646196,2869722967,3335471143,2275898215,0.1263436808858698,4076392674,0.6853774919463881,B,5.7219,test_window_complete,-1,-0.1741544534064523,57219,6000,120.0,11400.0,True,5.721900000000001,absorbing collection region; approximation to collection vials,False
calibration_gain_50,calibration_gain_50/consolidating_paired_0.5h_0_0_1,calibration_gain_50/paired/0.5h/rep00_odor0_side1,1,consolidating,paired,0.5,0,A,True,consolidating_paired_0.5h_0_0_1,2708622101,2666254299,2301008172,157589910,0.1373358991604146,1377592876,0.7973279931980922,B,5.7078,test_window_complete,-1,-0.1956332621568772,57078,6000,120.0,11400.0,True,5.707800000000001,absorbing collection region; approximation to collection vials,False
calibration_gain_50,calibration_gain_50/consolidating_paired_0.5h_0_1_0,calibration_gain_50/paired/0.5h/rep00_odor1_side0,2,consolidating,paired,0.5,0,B,False,consolidating_paired_0.5h_0_1_0,1568684429,290440781,3780439271,3587379160,0.197945730236451,1483582147,0.6846381301392044,B,5.7526,test_window_complete,1,-0.1871255217003306,57526,6000,120.0,11400.0,True,5.7526,absorbing collection region; approximation to collection vials,False
calibration_gain_50,calibration_gain_50/consolidating_paired_0.5h_0_1_1,calibration_gain_50/paired/0.5h/rep00_odor1_side1,3,consolidating,paired,0.5,0,B,True,consolidating_paired_0.5h_0_1_1,3466430882,238559116,338623123,2910870162,0.158838136173419,1156549214,1.5080041809082907,A,5.8152,test_window_complete,-1,-0.3140294401310914,58152,6000,120.0,11400.0,True,5.8152,absorbing collection region; approximation to collection vials,False
calibration_gain_50,calibration_gain_50/consolidating_paired_0.5h_1_0_0,calibration_gain_50/paired/0.5h/rep01_odor0_side0,4,consolidating,paired,0.5,1,A,False,consolidating_paired_0.5h_1_0_0,3615494982,1234416974,1161842276,1308555229,0.172715542243191,2486160845,0.8942905409316151,B,5.7243,test_window_complete,-1,-0.2130048581603706,57243,6000,120.0,11400.0,True,5.7243,absorbing collection region; approximation to collection vials,False
calibration_gain_50,calibration_gain_50/consolidating_paired_0.5h_1_0_1,calibration_gain_50/paired/0.5h/rep01_odor0_side1,5,consolidating,paired,0.5,1,A,True,consolidating_paired_0.5h_1_0_1,333672502,338857260,3615634981,4175218772,0.1380841373822448,2953232051,1.220559793176322,B,5.8217,test_window_complete,-1,-0.2641474693279626,58217,6000,120.0,11400.0,True,5.8217,absorbing collection region; approximation to collection vials,False
calibration_gain_50,calibration_gain_50/consolidating_paired_0.5h_1_1_0,calibration_gain_50/paired/0.5h/rep01_odor1_side0,6,consolidating,paired,0.5,1,B,False,consolidating_paired_0.5h_1_1_0,942709943,2126663975,3057286950,4025976123,0.1733403829270261,3265468116,0.8398206597492005,A,5.8462,test_window_complete,-1,-0.2171091590799372,58462,6000,120.0,11400.0,True,5.8462000000000005,absorbing collection region; approximation to collection vials,False
calibration_gain_50,calibration_gain_50/consolidating_paired_0.5h_1_1_1,calibration_gain_50/paired/0.5h/rep01_odor1_side1,7,consolidating,paired,0.5,1,B,True,consolidating_paired_0.5h_1_1_1,1491765585,1387746198,2066739097,759975258,0.134782103065294,2337273950,0.8243067040842322,A,5.7073,test_window_complete,-1,-0.2142666343049218,57073,6000,120.0,11400.0,True,5.7073,absorbing collection region; approximation to collection vials,False
calibration_gain_50,calibration_gain_50/consolidating_paired_0.5h_2_0_0,calibration_gain_50/paired/0.5h/rep02_odor0_side0,8,consolidating,paired,0.5,2,A,False,consolidating_paired_0.5h_2_0_0,3248265238,1590281506,489808365,3810024573,0.1529637963669458,4212188085,0.8442525202147161,B,5.8504,test_window_complete,-1,-0.2041769912527431,58504,6000,120.0,11400.0,True,5.8504000000000005,absorbing collection region; approximation to collection vials,False
calibration_gain_50,calibration_gain_50/consolidating_paired_0.5h_2_0_1,calibration_gain_50/paired/0.5h/rep02_odor0_side1,9,consolidating,paired,0.5,2,A,True,consolidating_paired_0.5h_2_0_1,4168977486,1858798374,759568914,1660976484,0.1733182548507543,1196550506,1.9075122346366435,B,5.8381,test_window_complete,-1,-0.3437918617967862,58381,6000,120.0,11400.0,True,5.8381,absorbing collection region; approximation to collection vials,False
calibration_gain_50,calibration_gain_50/consolidating_paired_0.5h_2_1_0,calibration_gain_50/paired/0.5h/rep02_odor1_side0,10,consolidating,paired,0.5,2,B,False,consolidating_paired_0.5h_2_1_0,207546663,532137857,550521060,1010237378,0.1664442550045992,1065098946,0.5713971590781796,A,5.7269,test_window_complete,-1,-0.1628839770605103,57269,6000,120.0,11400.0,True,5.7269000000000005,absorbing collection region; approximation to collection vials,False
