fly_id,session,condition,weight_a,weight_b
0,0,untrained,0.0,0.0
0,1,untrained,0.0,0.0
0,2,untrained,0.0,0.0
0,3,untrained,0.0,0.0
1,0,untrained,0.0,0.0
1,1,untrained,0.0,0.0
1,2,untrained,0.0,0.0
1,3,untrained,0.0,0.0
2,0,untrained,0.0,0.0
2,1,untrained,0.0,0.0
2,2,untrained,0.0,0.0
2,3,untrained,0.0,0.0
3,0,untrained,0.0,0.0
3,1,untrained,0.0,0.0
3,2,untrained,0.0,0.0
3,3,untrained,0.0,0.0
4,0,untrained,0.0,0.0
4,1,untrained,0.0,0.0
4,2,untrained,0.0,0.0
4,3,untrained,0.0,0.0
5,0,untrained,0.0,0.0
5,1,untrained,0.0,0.0
5,2,untrained,0.0,0.0
5,3,untrained,0.0,0.0
6,0,untrained,0.0,0.0
6,1,untrained,0.0,0.0
6,2,untrained,0.0,0.0
6,3,untrained,0.0,0.0
7,0,untrained,0.0,0.0
7,1,untrained,0.0,0.0
7,2,untrained,0.0,0.0
7,3,untrained,0.0,0.0
8,0,untrained,0.0,0.0
8,1,untrained,0.0,0.0
8,2,untrained,0.0,0.0
8,3,untrained,0.0,0.0
9,0,untrained,0.0,0.0
9,1,untrained,0.0,0.0
9,2,untrained,0.0,0.0
9,3,untrained,0.0,0.0
10,0,untrained,0.0,0.0
10,1,untrained,0.0,0.0
10,2,untrained,0.0,0.0
10,3,untrained,0.0,0.0
11,0,untrained,0.0,0.0
11,1,untrained,0.0,0.0
11,2,untrained,0.0,0.0
11,3,untrained,0.0,0.0
12,0,untrained,0.0,0.0
12,1,untrained,0.0,0.0
12,2,untrained,0.0,0.0
12,3,untrained,0.0,0.0
13,0,untrained,0.0,0.0
13,1,untrained,0.0,0.0
13,2,untrained,0.0,0.0
13,3,untrained,0.0,0.0
14,0,untrained,0.0,0.0
14,1,untrained,0.0,0.0
14,2,untrained,0.0,0.0
14,3,untrained,0.0,0.0
15,0,untrained,0.0,0.0
15,1,untrained,0.0,0.0
15,2,untrained,0.0,0.0
15,3,untrained,0.0,0.0
16,0,untrained,0.0,0.0
16,1,untrained,0.0,0.0
16,2,untrained,0.0,0.0
16,3,untrained,0.0,0.0
17,0,untrained,0.0,0.0
17,1,untrained,0.0,0.0
17,2,untrained,0.0,0.0
17,3,untrained,0.0,0.0
18,0,untrained,0.0,0.0
18,1,untrained,0.0,0.0
18,2,untrained,0.0,0.0
18,3,untrained,0.0,0.0
19,0,untrained,0.0,0.0
