condition,fly_id,choice,completed,latency_s,distance_mm,odor_b_side,random_seed,circuit_seed,last_x_mm,last_y_mm,weight_a,weight_b,physical_training,physics_ticks,control_updates
dan_silenced,0,B,True,1.1913,28.740993839752644,right,3329053876,3645748255,16.74629264314519,-2.5007172407796077,0.0,0.555733971191482,False,11913,420
dan_silenced,1,B,True,0.8625,21.09663730327359,right,2134191843,3792606954,12.00074151700304,-2.60644267488237,0.0,0.5372747851975769,False,8625,387
dan_silenced,2,B,True,0.8585,20.99150615123948,right,2436437895,1151155471,12.052528000335196,-2.5001887925559565,0.0,0.544927240896571,False,8585,386
dan_silenced,3,A,True,0.8659,21.17240167433416,right,13771258,2682531787,12.001325635044761,2.6916381314011346,0.0,0.55400211871458,False,8659,387
dan_silenced,4,B,True,0.9756,23.721201935447066,right,1462229373,3921964068,12.000770589864471,-5.626549840900357,0.0,0.5450723061840478,False,9756,398
dan_silenced,5,B,True,1.4400000000000002,34.43760302220954,right,2248537184,3855881369,20.42062319123445,-2.502078552324744,0.0,0.5546511998616763,False,14400,444
dan_silenced,6,none,False,,47.734611264929754,left,2188516665,429466934,28.067868063861322,2.2251118533500005,0.0,0.5580886745442423,False,20000,500
dan_silenced,7,A,True,0.9374,22.857446449667894,right,2737586632,4072755056,12.003212221609807,5.5802552665635625,0.0,0.5802506557125003,False,9374,394
dan_silenced,8,A,True,0.9404,22.926840895889267,left,1636764939,2234664573,13.149777700676465,-2.5016295974431175,0.0,0.5392199618385041,False,9404,395
dan_silenced,9,A,True,0.9463,23.062074649063145,left,4029204688,2943480381,13.384219790904966,-2.500017859850464,0.0,0.5384491948334147,False,9463,395
dan_silenced,10,B,True,1.0986,26.56541800626655,right,2052318847,3610168554,15.07774975618352,-2.5001082744401963,0.0,0.5552478378830252,False,10986,410
dan_silenced,11,none,False,,47.57657240094492,right,754147613,4083946371,28.6319465561874,-0.8028204839776093,0.0,0.5248138792215905,False,20000,500
dan_silenced,12,A,True,0.9439000000000001,22.95559227641638,left,2638278883,2512852426,12.894472907259383,-2.500179735015111,0.0,0.554333564300758,False,9439,395
dan_silenced,13,A,True,0.9038,22.14178080915617,left,100706267,2334542786,12.000599700140182,-4.69561248587413,0.0,0.5451441007716141,False,9038,391
dan_silenced,14,A,True,0.8669,21.173277189141306,right,3282634134,2195313851,12.000746675597934,3.058683907774912,0.0,0.5515219827612873,False,8669,387
dan_silenced,15,A,True,1.6695,39.72085499706097,left,2546732002,2411233229,23.664979377331257,-2.5003204332223854,0.0,0.540127905796494,False,16695,467
dan_silenced,16,A,True,0.9834,23.99615432251314,right,3659993424,1140446677,13.862103281956102,2.502196009441914,0.0,0.5452407739475033,False,9834,399
dan_silenced,17,A,True,0.8981,22.08350586759069,left,3998299522,3045367934,12.001544009793466,-4.352134009039002,0.0,0.5813406824482824,False,8981,390
dan_silenced,18,B,True,1.3941000000000001,33.410311685453365,left,569373386,2318598388,19.467195027042322,2.5001570555727057,0.0,0.5552669360674545,False,13941,440
dan_silenced,19,none,False,,47.576106073912754,right,3274451997,1847994383,28.06840667149019,1.8052380259831613,0.0,0.5914033653870624,False,20000,500
dan_silenced,20,A,True,1.7127000000000001,40.75436915006157,right,2919912252,3532647606,24.065339872656995,2.500559179913421,0.0,0.5592254166558642,False,17127,472
dan_silenced,21,A,True,1.5249000000000001,36.53610839394455,left,4058920394,3253952273,21.7907652193554,-2.500800210414052,0.0,0.5555426173946998,False,15249,453
dan_silenced,22,A,True,1.0178,24.491404097080864,right,2123970655,3662084313,12.001418254717775,7.226456369442493,0.0,0.5939279763898493,False,10178,402
dan_silenced,23,none,False,,47.59979957588091,left,3415289622,1290198544,28.459336699188245,0.7739039376085791,0.0,0.530937142209273,False,20000,500
dan_silenced,24,A,True,0.8587,21.143648929294493,right,1910202036,720826952,12.000563840433726,2.7130394764137815,0.0,0.556862065708038,False,8587,386
dan_silenced,25,B,True,0.8688,21.265841987957092,left,3947137033,3554254871,12.0001312488422,2.54271982274332,0.0,0.5390135651561884,False,8688,387
dan_silenced,26,A,True,0.8848,21.62877852367799,right,1396475382,2772708567,12.000693722105842,3.0807234976386653,0.0,0.5634243707563035,False,8848,389
dan_silenced,27,none,False,,47.58298918993,right,3420411494,2524977041,28.898521294330056,0.47669575993772023,0.0,0.5449820982536578,False,20000,500
dan_silenced,28,A,True,1.3115,31.53306882444964,right,3049812762,1457771103,18.279133470050258,2.502651653691203,0.0,0.5482539254157259,False,13115,432
dan_silenced,29,B,True,0.8924000000000001,21.787341566232772,right,3459555230,725354768,12.003087033017366,-3.8930714140288725,0.0,0.5678496986234219,False,8924,390
dan_silenced,30,B,True,0.8609,21.23106059858299,left,2446441635,2160239723,12.001534776774053,2.7728248725241618,0.0,0.5582896971703027,False,8609,387
dan_silenced,31,A,True,0.9481,23.229544027985867,right,730038600,3248186979,12.000134963016544,5.933332870815714,0.0,0.565635450905584,False,9481,395
dan_silenced,32,A,True,1.1063,26.789211724264195,left,3616012249,3212606671,15.56972519010734,-2.5024077239937426,0.0,0.5737118371509545,False,11063,411
dan_silenced,33,B,True,0.882,21.53876897939831,right,2600025322,4248454044,12.0015021252006,-3.5174152552228595,0.0,0.5465790391937904,False,8820,389
dan_silenced,34,none,False,,47.59117654729283,right,4161493998,4137236358,28.874168350524766,1.3455767899999713,0.0,0.5486626363061716,False,20000,500
dan_silenced,35,B,True,0.9453,22.907856175705554,right,622810370,2418480088,12.000575947220266,-5.196393342184164,0.0,0.5303756275048461,False,9453,395
dan_silenced,36,B,True,1.4389,34.479346159972785,right,3205717296,1725745693,20.433789545281527,-2.50081323110588,0.0,0.5826525029520302,False,14389,444
dan_silenced,37,A,True,0.9267000000000001,22.705995303016568,right,2641484167,2232530563,12.000995350708049,5.160632574530766,0.0,0.5516590205216595,False,9267,393
dan_silenced,38,A,True,1.1498000000000002,27.790020370738578,right,485281044,4041841091,16.090483788918693,2.5019053652018233,0.0,0.5895689036686186,False,11498,415
